Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-12-28,171.0,171.85,170.48,171.08,16480187.0,0.0,1.0,41.13697186411518,41.34145388800113,41.01187697891436,41.15621723106916,65920748.0
2017-12-27,170.1,170.78,169.71,170.6,21498213.0,0.0,1.0,40.920461485882996,41.084047104991754,40.82664032198238,41.04074502934532,85992852.0
2017-12-26,170.8,171.47,169.679,170.57,33185536.0,0.0,1.0,41.08885844673025,41.25003839496976,40.819182742287715,41.03352801673758,132742144.0
2017-12-22,174.68,175.424,174.5,175.01,16349444.0,0.0,1.0,42.022258743997895,42.20124065666983,41.97895666835146,42.10164588268302,65397776.0
2017-12-21,174.17,176.02,174.1,175.01,20949896.0,0.0,1.0,41.899569529666316,42.344618640476924,41.88272983358159,42.10164588268302,83799584.0
2017-12-20,174.87,175.42,173.25,174.35,23475649.0,0.0,1.0,42.06796649051358,42.20027838832213,41.67824780969564,41.94287160531276,93902596.0
2017-12-19,175.03,175.39,174.09,174.54,27436447.0,0.0,1.0,42.10645722442152,42.19306137571439,41.88032416271235,41.98857935182844,109745788.0
2017-12-18,174.88,177.2,174.86,176.42,29421114.0,0.0,1.0,42.07037216138282,42.62848780304801,42.06556081964433,42.44084547524678,117684456.0
2017-12-15,173.63,174.17,172.46,173.97,40169307.0,0.0,1.0,41.76966330272701,41.899569529666316,41.48819981102517,41.85145611228139,160677228.0
2017-12-14,172.4,173.13,171.65,172.22,20476541.0,0.0,1.0,41.47376578580969,41.64937975926468,41.2933404706162,41.43046371016325,81906164.0
2017-12-13,172.5,173.54,172.0,172.27,23818447.0,0.0,1.0,41.49782249450215,41.74801226490379,41.37753895103983,41.44249206450949,95273788.0
2017-12-12,172.15,172.39,171.461,171.7,19409230.0,0.0,1.0,41.41362401407853,41.47136011494044,41.247873291187446,41.305368824962436,77636920.0
2017-12-11,169.2,172.89,168.79,172.67,35273759.0,0.0,1.0,40.70395110765081,41.59164365840277,40.6053186020117,41.538718899279345,141095036.0
2017-12-08,170.49,171.0,168.82,169.37,23355231.0,0.0,1.0,41.01428264978361,41.13697186411518,40.61253561461944,40.744847512428,93420924.0
2017-12-07,169.03,170.44,168.91,169.32,25673308.0,0.0,1.0,40.663054702873616,41.002254295437375,40.63418665244266,40.73281915808177,102693232.0
2017-12-06,167.5,170.2047,166.46,169.01,28560000.0,0.0,1.0,40.294987059878906,40.94564885988401,40.04479728947727,40.65824336113512,114240000.0
2017-12-05,169.06,171.52,168.4,169.64,27350154.0,0.0,1.0,40.67027171548136,41.262066749316,40.51149743811109,40.80980062589765,109400616.0
2017-12-04,172.48,172.62,169.63,169.8,32542385.0,0.0,1.0,41.49301115276366,41.52669054493312,40.80739495502841,40.8482913598056,130169540.0
2017-12-01,169.95,171.67,168.5,171.05,39759288.0,0.0,1.0,40.8843764228443,41.29815181235469,40.535554146803555,41.14900021846142,159037152.0
2017-11-30,170.43,172.14,168.44,171.85,41527218.0,0.0,1.0,40.99984862456813,41.41121834320928,40.521120121588076,41.34145388800113,166108872.0
2017-11-29,172.63,172.92,167.16,169.48,41666364.0,0.0,1.0,41.52909621580236,41.598860671010506,40.21319425032452,40.77130989198971,166665456.0
2017-11-28,174.3,174.87,171.86,173.07,26428802.0,0.0,1.0,41.930843250966525,42.06796649051358,41.343859558870385,41.634945734049204,105715208.0
2017-11-27,175.05,175.08,173.34,174.09,20716802.0,0.0,1.0,42.111268566160014,42.11848557876775,41.69989884751886,41.88032416271235,82867208.0
2017-11-24,175.1,175.5,174.6459,174.97,14026673.0,0.0,1.0,42.12329692050624,42.21952375527611,42.01405540633377,42.09202319920604,56106692.0
2017-11-22,173.36,175.0,173.05,174.96,25588925.0,0.0,1.0,41.704710189257355,42.09924021181378,41.630134392310715,42.089617528336795,102355700.0
2017-11-21,170.78,173.7,170.78,173.14,25131295.0,0.0,1.0,41.084047104991754,41.786502998811734,41.084047104991754,41.65178543013393,100525180.0
2017-11-20,170.29,170.56,169.56,169.98,16262447.0,0.0,1.0,40.96616923239868,41.03112234586833,40.790555258943684,40.89159343545204,65049788.0
