Date,Open,High,Low,Close,Adj Close,Volume
2020-01-13,77.910004,79.267502,77.787498,79.239998,78.561531,121532000
2020-01-14,79.175003,79.392502,78.042503,78.169998,77.500702,161954400
2020-01-15,77.962502,78.875000,77.387497,77.834999,77.168564,121923600
2020-01-16,78.397499,78.925003,78.022499,78.809998,78.135223,108829200
2020-01-17,79.067497,79.684998,78.750000,79.682503,79.000244,137816400
2020-01-21,79.297501,79.754997,79.000000,79.142502,78.464882,110843200
2020-01-22,79.644997,79.997498,79.327499,79.425003,78.744957,101832400
2020-01-23,79.480003,79.889999,78.912498,79.807503,79.124184,104472000
2020-01-24,80.062500,80.832497,79.379997,79.577499,78.896149,146537600
2020-01-27,77.514999,77.942497,76.220001,77.237503,76.576187,161940000
2020-01-28,78.150002,79.599998,78.047501,79.422501,78.742477,162234000
2020-01-29,81.112503,81.962502,80.345001,81.084999,80.390747,216229200
2020-01-30,80.135002,81.022499,79.687500,80.967499,80.274246,126743200
2020-01-31,80.232498,80.669998,77.072502,77.377502,76.714989,199588400
2020-02-03,76.074997,78.372498,75.555000,77.165001,76.504311,173985600
2020-02-04,78.827499,79.910004,78.407501,79.712502,79.029999,136616400
2020-02-05,80.879997,81.190002,79.737503,80.362503,79.674438,118826800
2020-02-06,80.642502,81.305000,80.065002,81.302498,80.606384,105425600
2020-02-07,80.592499,80.849998,79.500000,80.007500,79.510727,117684000
2020-02-10,78.544998,80.387497,78.462502,80.387497,79.888359,109348800
2020-02-11,80.900002,80.974998,79.677498,79.902496,79.406372,94323200
2020-02-12,80.367500,81.805000,80.367500,81.800003,81.292099,113730400
2020-02-13,81.047501,81.555000,80.837502,81.217499,80.713219,94747600
2020-02-14,81.184998,81.495003,80.712502,81.237503,80.733086,80113600
2020-02-18,78.839996,79.937500,78.652496,79.750000,79.254822,152531200
2020-02-19,80.000000,81.142502,80.000000,80.904999,80.402649,93984000
2020-02-20,80.657501,81.162498,79.552498,80.074997,79.577805,100566000
2020-02-21,79.654999,80.112503,77.625000,78.262497,77.776558,129554000
2020-02-24,74.315002,76.044998,72.307503,74.544998,74.082146,222195200
2020-02-25,75.237503,75.632500,71.532501,72.019997,71.572823,230673600
2020-02-26,71.632500,74.470001,71.625000,73.162498,72.708221,198054800
2020-02-27,70.275002,71.500000,68.239998,68.379997,67.955421,320605600
2020-02-28,64.315002,69.602501,64.092499,68.339996,67.915665,426884800
2020-03-02,70.570000,75.360001,69.430000,74.702499,74.238663,341397200
2020-03-03,75.917503,76.000000,71.449997,72.330002,71.880898,319475600
2020-03-04,74.110001,75.849998,73.282501,75.684998,75.215065,219178400
2020-03-05,73.879997,74.887497,72.852501,73.230003,72.775307,187572800
2020-03-06,70.500000,72.705002,70.307503,72.257500,71.808846,226176800
2020-03-09,65.937500,69.522499,65.750000,66.542503,66.129333,286744800
2020-03-10,69.285004,71.610001,67.342499,71.334999,70.892075,285290000
2020-03-11,69.347504,70.305000,67.964996,68.857498,68.429955,255598800
2020-03-12,63.985001,67.500000,62.000000,62.057499,61.672176,418474000
2020-03-13,66.222504,69.980003,63.237499,69.492500,69.061012,370732000
2020-03-16,60.487499,64.769997,60.000000,60.552502,60.176525,322423600
